Profil;h;b;d;t;r;A;Wely;Welz;Wply;Wplz;Iy;Iz;Iv;Iw;g;iy;iz;Avy;Avz;Wv
-;mm;mm;mm;mm;mm;mm2;mm3;mm3;mm3;mm3;mm4;mm4;mm4;mm6;kg/m;mm;mm;mm2;mm2;mm3
RHS180x100x6-V;180;100;6;6;6;3180;150000;107000;186000;123000;13500000;5360000;12200000;0;24.9;65.2;41.1;2044.3;1135.7;179000
RHS180x100x8-V;180;100;8;8;8;4160;190000;134000;239000;157000;17100000;6710000;15600000;0;32.6;64.2;40.2;2674.3;1485.7;224000
RHS180x100x10-V;180;100;10;10;10;5090;226000;157000;288000;188000;20400000;7870000;18600000;0;40;63.2;39.3;3272.1;1817.9;263000
RHS200x100x6-V;200;100;6;6;6;3420;175000;118000;218000;134000;17500000;5890000;14100000;0;26.8;71.6;41.5;2280.0;1140.0;200000
RHS200x100x8-V;200;100;8;8;8;4480;223000;148000;282000;172000;22300000;7390000;18000000;0;35.1;70.6;40.6;2986.7;1493.3;251000
RHS200x100x10-V;200;100;10;10;10;5490;266000;174000;341000;206000;26600000;8690000;21600000;0;43.1;69.6;39.8;3660.0;1830.0;295000
RHS200x100x12-V;200;100;12;12;12;6470;305000;196000;395000;237000;30500000;9790000;24700000;0;50.8;68.6;38.9;4313.3;2156.7;333000
RHS200x120x6.3-V;200;120;6.3;6.3;6.3;3830;207000;155000;253000;177000;20700000;9290000;20300000;0;30.1;73.4;49.2;2393.8;1436.3;255000
RHS200x120x8-V;200;120;8;8;8;4800;253000;188000;313000;218000;25300000;11300000;24900000;0;37.6;72.6;48.5;3000.0;1800.0;310000
RHS200x120x10-V;200;120;10;10;10;5890;303000;223000;379000;263000;30300000;13400000;30000000;0;46.3;71.7;47.6;3681.3;2208.8;367000
RHS200x120x12-V;200;120;12;12;12;6950;347000;253000;440000;305000;34700000;15200000;34600000;0;54.6;70.7;46.8;4343.8;2606.3;417000
RHS250x150x6.3-V;250;150;6.3;6.3;6.3;4840;331000;250000;402000;283000;41400000;18700000;40500000;0;38;92.5;62.2;3025.0;1815.0;413000
RHS250x150x8-V;250;150;8;8;8;6080;409000;306000;501000;350000;51100000;23000000;50200000;0;47.7;91.7;61.5;3800.0;2280.0;506000
RHS250x150x10-V;250;150;10;10;10;7490;494000;367000;611000;426000;61700000;27500000;60900000;0;58.8;90.8;60.6;4681.3;2808.8;605000
RHS250x150x12-V;250;150;12;12;12;8870;572000;422000;715000;497000;71500000;31700000;70900000;0;69.6;89.8;59.8;5543.8;3326.3;695000
RHS300x200x6.3-V;300;200;6.3;6.3;6.3;6100;522000;419000;624000;472000;78300000;41900000;84800000;0;47.9;113;82.9;3660.0;2440.0;681000
RHS300x200x8-V;300;200;8;8;8;7680;648000;518000;779000;589000;97200000;51800000;106000000;0;60.3;113;82.2;4608.0;3072.0;840000
RHS300x200x10-V;300;200;10;10;10;9490;788000;628000;956000;721000;118000000;62800000;129000000;0;74.5;112;81.3;5694.0;3796.0;1015000
RHS300x200x12-V;300;200;12;12;12;11300;920000;729000;1124000;847000;138000000;72900000;151000000;0;88.5;111;80.5;6780.0;4520.0;1178000
RHS400x200x10-V;400;200;10;10;10;11500;1196000;808000;1480000;911000;239000000;80800000;193000000;0;90.2;144;83.9;7666.7;3833.3;1376000
RHS400x200x12-V;400;200;12;12;12;13700;1403000;942000;1748000;1072000;281000000;94200000;226000000;0;107;143;83;9133.3;4566.7;1602000
RHS400x200x16-V;400;200;16;16;16;17900;1787000;1182000;2256000;1374000;357000000;118000000;289000000;0;141;141;81.3;11933.3;5966.7;2010000
RHS40x20x2-K;40;20;2;2;2;214;2020;1340;2610;1600;40500;13400;34500;0;1.68;13.8;7.93;142.7;71.3;2360
RHS50x30x2.5-K;50;30;2.5;2.5;2.5;359;4520;3370;5700;3980;113000;50500;117000;0;2.82;17.7;11.9;224.4;134.6;5720
RHS50x30x3-K;50;30;3;3;3;421;5130;3800;6570;4580;128000;57000;135000;0;3.3;17.5;11.6;263.1;157.9;6490
RHS50x30x4-K;50;30;4;4;4;535;6100;4460;8050;5580;153000;66900;165000;0;4.2;16.9;11.2;334.4;200.6;7710
RHS60x40x2.5-K;60;40;2.5;2.5;2.5;459;7360;5870;9060;6840;221000;117000;251000;0;3.6;21.9;16;275.4;183.6;9720
RHS60x40x3-K;60;40;3;3;3;541;8460;6720;10500;7940;254000;134000;293000;0;4.25;21.7;15.8;324.6;216.4;11200
RHS60x40x4-K;60;40;4;4;4;695;10300;8140;13200;9890;310000;163000;367000;0;5.45;21.1;15.3;417.0;278.0;13700
RHS70x50x3-K;70;50;3;3;3;661;12600;10400;15400;12200;441000;261000;536000;0;5.19;25.8;19.9;385.6;275.4;17100
RHS70x50x4-K;70;50;4;4;4;855;15600;12900;19500;15400;547000;322000;681000;0;6.71;25.3;19.4;498.8;356.3;21200
RHS70x50x5-K;70;50;5;5;5;1040;18100;14900;23100;18200;635000;372000;808000;0;8.13;24.8;19;606.7;433.3;24600
RHS80x40x3-K;80;40;3;3;3;661;13100;8780;16500;10200;523000;176000;439000;0;5.19;28.1;16.3;440.7;220.3;15300
RHS80x40x4-K;80;40;4;4;4;855;16200;10700;20900;12800;648000;215000;552000;0;6.71;27.5;15.9;570.0;285.0;18800
RHS80x40x5-K;80;40;5;5;5;1040;18800;12300;24700;15000;751000;246000;650000;0;8.13;26.9;15.4;693.3;346.7;21700
RHS90x50x3-K;90;50;3;3;3;781;18200;13100;22600;15000;819000;327000;767000;0;6.13;32.4;20.5;502.1;278.9;22400
RHS90x50x4-K;90;50;4;4;4;1010;22800;16300;28800;19100;1030000;407000;977000;0;7.97;31.8;20;649.3;360.7;28000
RHS90x50x5-K;90;50;5;5;5;1240;26800;18900;34400;22700;1210000;474000;1160000;0;9.7;31.2;19.6;797.1;442.9;32700
RHS100x50x3-K;100;50;3;3;3;841;21300;14400;26700;16400;1060000;361000;886000;0;6.6;35.6;20.7;560.7;280.3;25000
RHS100x50x4-K;100;50;4;4;4;1090;26800;18000;34100;20900;1340000;449000;1130000;0;8.59;35;20.3;726.7;363.3;31300
RHS100x50x5-K;100;50;5;5;5;1340;31600;21000;40800;25000;1580000;525000;1350000;0;10.5;34.4;19.8;893.3;446.7;36800
RHS100x50x6-K;100;50;6;6;6;1560;35800;23500;46900;28500;1790000;587000;1540000;0;12.3;33.8;19.4;1040.0;520.0;41400
RHS100x60x3-K;100;60;3;3;3;901;24100;18200;29600;20800;1210000;546000;1220000;0;7.07;36.6;24.6;563.1;337.9;30600
